1.45E+02	1.56E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.31E+02	1.42E+02
1.45E+02	1.56E+02
1.17E+02	1.27E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.45E+02	1.56E+02
1.17E+02	1.27E+02
1.17E+02	1.27E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.31E+02	1.42E+02
1.17E+02	1.27E+02
1.31E+02	1.42E+02
1.17E+02	1.27E+02
1.45E+02	1.56E+02
1.17E+02	1.27E+02
1.45E+02	1.56E+02
1.17E+02	1.27E+02
1.03E+02	1.13E+02
1.31E+02	1.42E+02
1.17E+02	1.27E+02
1.31E+02	1.42E+02
1.45E+02	1.56E+02
1.45E+02	1.56E+02
1.03E+02	1.13E+02
1.03E+02	1.13E+02
1.31E+02	1.42E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.03E+02	1.13E+02
1.31E+02	1.42E+02
1.45E+02	1.56E+02
1.17E+02	1.27E+02
1.17E+02	1.27E+02
1.45E+02	1.56E+02
1.03E+02	1.13E+02
1.31E+02	1.42E+02
1.45E+02	1.56E+02
1.03E+02	1.13E+02
1.45E+02	1.56E+02
1.17E+02	1.27E+02
1.17E+02	1.27E+02
1.31E+02	1.42E+02
1.03E+02	1.13E+02
1.31E+02	1.42E+02
1.03E+02	1.13E+02
1.31E+02	1.42E+02
1.17E+02	1.28E+02
9.02E+01	9.99E+01
9.02E+01	9.99E+01
1.17E+02	1.27E+02
9.02E+01	9.99E+01
1.45E+02	1.56E+02
1.17E+02	1.28E+02
9.02E+01	9.99E+01
1.17E+02	1.27E+02
1.03E+02	1.13E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.17E+02	1.28E+02
1.03E+02	1.13E+02
1.45E+02	1.56E+02
1.45E+02	1.56E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.31E+02	1.42E+02
1.03E+02	1.13E+02
1.45E+02	1.56E+02
1.03E+02	1.13E+02
9.02E+01	9.99E+01
1.31E+02	1.42E+02
1.31E+02	1.42E+02
9.02E+01	9.99E+01
1.31E+02	1.42E+02
1.03E+02	1.13E+02
9.02E+01	9.99E+01
9.02E+01	9.99E+01
1.17E+02	1.28E+02
1.45E+02	1.56E+02
1.03E+02	1.13E+02
1.17E+02	1.28E+02
1.17E+02	1.27E+02
1.45E+02	1.56E+02
1.03E+02	1.13E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.03E+02	1.13E+02
7.85E+01	8.73E+01
1.17E+02	1.28E+02
1.17E+02	1.28E+02
1.03E+02	1.13E+02
1.17E+02	1.28E+02
1.31E+02	1.42E+02
1.31E+02	1.42E+02
7.85E+01	8.73E+01
9.02E+01	9.99E+01
7.85E+01	8.73E+01
9.02E+01	9.99E+01
1.45E+02	1.56E+02
1.45E+02	1.56E+02
7.85E+01	8.73E+01
9.02E+01	9.99E+01
9.02E+01	9.99E+01
1.17E+02	1.28E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.31E+02	1.42E+02
1.45E+02	1.56E+02
1.03E+02	1.13E+02
9.02E+01	9.99E+01
1.45E+02	1.56E+02
1.17E+02	1.28E+02
1.17E+02	1.28E+02
7.85E+01	8.73E+01
1.31E+02	1.42E+02
1.31E+02	1.42E+02
1.03E+02	1.13E+02
7.85E+01	8.73E+01
1.03E+02	1.13E+02
1.31E+02	1.42E+02
7.85E+01	8.73E+01
9.02E+01	9.99E+01
1.03E+02	1.13E+02
1.45E+02	1.56E+02
1.03E+02	1.13E+02
7.85E+01	8.73E+01
1.03E+02	1.13E+02
9.02E+01	9.99E+01
1.45E+02	1.56E+02
9.02E+01	9.99E+01
1.17E+02	1.28E+02
1.17E+02	1.28E+02
1.31E+02	1.42E+02
1.45E+02	1.56E+02
9.02E+01	9.99E+01
1.31E+02	1.42E+02
1.17E+02	1.28E+02
1.17E+02	1.28E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
1.17E+02	1.28E+02
1.03E+02	1.13E+02
7.85E+01	8.73E+01
1.31E+02	1.42E+02
7.85E+01	8.73E+01
6.67E+01	7.47E+01
1.03E+02	1.13E+02
1.03E+02	1.13E+02
1.17E+02	1.28E+02
9.02E+01	9.99E+01
6.67E+01	7.47E+01
7.85E+01	8.73E+01
6.67E+01	7.47E+01
7.85E+01	8.73E+01
1.17E+02	1.28E+02
1.45E+02	1.56E+02
9.02E+01	9.99E+01
1.17E+02	1.28E+02
9.02E+01	9.99E+01
1.45E+02	1.56E+02
6.67E+01	7.47E+01
7.85E+01	8.73E+01
1.45E+02	1.56E+02
1.03E+02	1.13E+02
9.02E+01	9.99E+01
9.02E+01	9.99E+01
1.03E+02	1.13E+02
1.31E+02	1.42E+02
1.17E+02	1.28E+02
1.31E+02	1.42E+02
9.02E+01	9.99E+01
1.45E+02	1.56E+02
7.85E+01	8.73E+01
1.03E+02	1.13E+02
1.31E+02	1.42E+02
1.03E+02	1.13E+02
6.67E+01	7.47E+01
1.03E+02	1.13E+02
1.45E+02	1.56E+02
1.31E+02	1.42E+02
7.85E+01	8.73E+01
6.67E+01	7.47E+01
1.45E+02	1.56E+02
7.85E+01	8.73E+01
6.67E+01	7.47E+01
7.85E+01	8.73E+01
1.31E+02	1.42E+02
